Genre,Director,Actors,Runtime,Votes,Rating
Action,James Cameron,Sam Worthington,162,1200000,7.8
Drama,Christopher Nolan,Matthew McConaughey,169,1500000,8.6
Comedy,Rajkumar Hirani,Aamir Khan,170,800000,8.4
Action,Christopher Nolan,Christian Bale,152,1400000,9.0
Sci-Fi,Denis Villeneuve,Timothee Chalamet,155,700000,8.2
Action,James Cameron,Arnold Schwarzenegger,137,1000000,8.5
Drama,Frank Darabont,Tim Robbins,142,2500000,9.3
Comedy,Todd Phillips,Bradley Cooper,100,750000,7.7
Sci-Fi,Christopher Nolan,Leonardo DiCaprio,148,2200000,8.8
Action,Jon Favreau,Robert Downey Jr.,126,1050000,7.9
